race_code,common_name,year,haul,haul_date,vessel,station,area_km2,district,section,start_latitude,start_longitude,avg_depth_fm,tow_distance_km,net_width_km,area_swept_km2,total_weight_kg,total_number_caught
21720,Pacific cod,1988,88010001,7/18/1988,Resolution,CHJ,11.3,1,1,57.743,-152.394,35,1.9,0.0122,0.02258,14.52,6
21720,Pacific cod,1988,88010002,7/18/1988,Resolution,CHE,20.6,1,1,57.6775,-152.4592,12,1.9,0.0122,0.02258,0,0
21720,Pacific cod,1988,88010003,7/18/1988,Resolution,CHA,5.5,1,1,57.6173,-152.4343,30,1.9,0.0122,0.02258,9.53,3
21720,Pacific cod,1988,88010004,7/18/1988,Resolution,CHB,7.9,1,1,57.6417,-152.3995,43,1.9,0.0122,0.02258,16.78,5
21720,Pacific cod,1988,88010005,7/18/1988,Resolution,CHF,12.7,1,1,57.6913,-152.3333,79,1.9,0.0122,0.02258,4.54,1
21720,Pacific cod,1988,88010006,7/19/1988,Resolution,CHK,8.6,1,1,57.7178,-152.3082,83,1.9,0.0122,0.02258,21.77,8
21720,Pacific cod,1988,88010007,7/19/1988,Resolution,CHL,14.1,1,1,57.721,-152.2617,90,1.9,0.0122,0.02258,0,0
21720,Pacific cod,1988,88020218,8/5/1988,Resolution,MOV,15.2,2,2,54.7922,-163.187,47,1.9,0.0122,0.02258,83.46,53
21720,Pacific cod,1988,88020219,8/5/1988,Resolution,MOW,21.4,2,2,54.795,-163.0997,20,1.7,0.0122,0.02032,481.27,240
21720,Pacific cod,1988,88020220,8/5/1988,Resolution,87,88.4,2,2,54.7697,-162.9658,44,1.9,0.0122,0.02258,27.22,14
21720,Pacific cod,1988,88020221,8/5/1988,Resolution,98,89.5,2,2,54.7852,-162.8898,29,1.9,0.0122,0.02258,0,0
21720,Pacific cod,1988,88020222,8/5/1988,Resolution,97,86.5,2,2,54.8545,-162.8395,23,1.9,0.0122,0.02258,0,0
21720,Pacific cod,1988,88020223,8/5/1988,Resolution,MOP,22.3,2,2,54.8497,-162.9768,41,1.9,0.0122,0.02258,128.37,132
21720,Pacific cod,1988,88020224,8/5/1988,Resolution,MOO,21.4,2,2,54.8692,-163.0205,47,1.9,0.0122,0.02258,31.75,12
21720,Pacific cod,1988,88020225,8/5/1988,Resolution,MOS,21.4,2,2,54.8378,-163.0882,47,1.9,0.0122,0.02258,31.75,9
21720,Pacific cod,1988,88020226,8/5/1988,Resolution,MOR,18.5,2,2,54.8375,-163.1555,49,1.9,0.0122,0.02258,487.62,292
21720,Pacific cod,1988,88020227,8/6/1988,Resolution,MOT,21.9,2,2,54.7898,-163.2868,50,1.5,0.0122,0.01806,89.81,48
