YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,610,26,4,1,37,1,2,ELMEJJATI
1997,610,26,4,2,39,1,2,ELMEJJATI
1997,610,91,4,2,49,1,2,ELMEJJATI
1997,610,26,4,1,50,1,2,ELMEJJATI
1997,610,91,4,1,51,4,2,ELMEJJATI
1997,610,91,4,2,51,2,2,ELMEJJATI
1997,610,91,4,1,52,2,2,ELMEJJATI
1997,610,26,4,2,52,1,2,ELMEJJATI
1997,610,91,4,2,52,2,2,ELMEJJATI
1997,610,26,4,1,53,1,2,ELMEJJATI
1997,610,91,4,1,53,7,2,ELMEJJATI
1997,610,91,4,2,53,6,2,ELMEJJATI
1997,610,26,4,1,54,1,2,ELMEJJATI
1997,610,91,4,1,54,14,2,ELMEJJATI
1997,610,91,4,2,54,4,2,ELMEJJATI
1997,610,26,4,1,55,1,2,ELMEJJATI
1997,610,91,4,1,55,16,2,ELMEJJATI
1997,610,91,4,2,55,6,2,ELMEJJATI
1997,610,26,4,1,56,5,2,ELMEJJATI
1997,610,91,4,1,56,20,2,ELMEJJATI
1997,610,91,4,2,56,6,2,ELMEJJATI
1997,610,26,4,1,57,1,2,ELMEJJATI
1997,610,91,4,1,57,13,2,ELMEJJATI
1997,610,91,4,2,57,12,2,ELMEJJATI
1997,610,26,4,1,58,3,2,ELMEJJATI
1997,610,91,4,1,58,25,2,ELMEJJATI
1997,610,91,4,2,58,20,2,ELMEJJATI
1997,610,26,4,1,59,1,2,ELMEJJATI
1997,610,91,4,1,59,36,2,ELMEJJATI
1997,610,26,4,2,59,1,2,ELMEJJATI
1997,610,91,4,2,59,29,2,ELMEJJATI
1997,610,26,4,1,60,2,2,ELMEJJATI
1997,610,91,4,1,60,39,2,ELMEJJATI
1997,610,26,4,2,60,2,2,ELMEJJATI
1997,610,91,4,2,60,18,2,ELMEJJATI
1997,610,26,4,1,61,3,2,ELMEJJATI
1997,610,91,4,1,61,53,2,ELMEJJATI
1997,610,26,4,2,61,2,2,ELMEJJATI
1997,610,91,4,2,61,39,2,ELMEJJATI
1997,610,26,4,1,62,4,2,ELMEJJATI
1997,610,91,4,1,62,42,2,ELMEJJATI
1997,610,26,4,2,62,1,2,ELMEJJATI
1997,610,91,4,2,62,30,2,ELMEJJATI
1997,610,26,4,1,63,4,2,ELMEJJATI
1997,610,91,4,1,63,55,2,ELMEJJATI
1997,610,26,4,2,63,2,2,ELMEJJATI
1997,610,91,4,2,63,30,2,ELMEJJATI
1997,610,26,4,1,64,1,2,ELMEJJATI
1997,610,91,4,1,64,67,2,ELMEJJATI
1997,610,26,4,2,64,1,2,ELMEJJATI
1997,610,91,4,2,64,45,2,ELMEJJATI
1997,610,26,4,1,65,2,2,ELMEJJATI
1997,610,91,4,1,65,52,2,ELMEJJATI
1997,610,26,4,2,65,2,2,ELMEJJATI
1997,610,91,4,2,65,27,2,ELMEJJATI
1997,610,91,4,1,66,51,2,ELMEJJATI
1997,610,26,4,2,66,6,2,ELMEJJATI
1997,610,91,4,2,66,51,2,ELMEJJATI
1997,610,26,4,1,67,3,2,ELMEJJATI
1997,610,91,4,1,67,36,2,ELMEJJATI
1997,610,26,4,2,67,4,2,ELMEJJATI
1997,610,91,4,2,67,30,2,ELMEJJATI
1997,610,26,4,1,68,1,2,ELMEJJATI
1997,610,91,4,1,68,40,2,ELMEJJATI
1997,610,26,4,2,68,3,2,ELMEJJATI
1997,610,91,4,2,68,41,2,ELMEJJATI
1997,610,26,4,1,69,1,2,ELMEJJATI
1997,610,91,4,1,69,33,2,ELMEJJATI
1997,610,26,4,2,69,1,2,ELMEJJATI
