TONS,GEAR,YEAR,SEASON
73,TRAWL,1977,1
73,TRAWL,1977,2
195,TRAWL,1977,3
156,TRAWL,1977,4
156,TRAWL,1977,5
366,TRAWL,1978,1
366,TRAWL,1978,2
973,TRAWL,1978,3
779,TRAWL,1978,4
779,TRAWL,1978,5
425,TRAWL,1979,1
425,TRAWL,1979,2
1130,TRAWL,1979,3
905,TRAWL,1979,4
905,TRAWL,1979,5
1106,TRAWL,1980,1
1106,TRAWL,1980,2
2937,TRAWL,1980,3
2351,TRAWL,1980,4
2351,TRAWL,1980,5
155,TRAWL,1981,1
155,TRAWL,1981,2
3609,TRAWL,1981,3
3283,TRAWL,1981,4
3283,TRAWL,1981,5
457,TRAWL,1982,1
457,TRAWL,1982,2
2270,TRAWL,1982,3
1748,TRAWL,1982,4
1748,TRAWL,1982,5
1144,TRAWL,1983,1
1144,TRAWL,1983,2
3416,TRAWL,1983,3
1904,TRAWL,1983,4
1904,TRAWL,1983,5
1372,TRAWL,1984,1
1372,TRAWL,1984,2
2694,TRAWL,1984,3
1684,TRAWL,1984,4
1684,TRAWL,1984,5
971,TRAWL,1985,1
971,TRAWL,1985,2
1056,TRAWL,1985,3
939,TRAWL,1985,4
939,TRAWL,1985,5
1200,TRAWL,1986,1
1200,TRAWL,1986,2
1031,TRAWL,1986,3
1710,TRAWL,1986,4
1710,TRAWL,1986,5
2151,TRAWL,1987,1
2151,TRAWL,1987,2
9003,TRAWL,1987,3
4591,TRAWL,1987,4
4591,TRAWL,1987,5
6408,TRAWL,1988,1
6408,TRAWL,1988,2
9773,TRAWL,1988,3
2278,TRAWL,1988,4
2278,TRAWL,1988,5
9846,TRAWL,1989,1
9846,TRAWL,1989,2
17780,TRAWL,1989,3
83,TRAWL,1989,4
83,TRAWL,1989,5
17312,TRAWL,1990,1
17312,TRAWL,1990,2
16170,TRAWL,1990,3
4198,TRAWL,1990,4
4198,TRAWL,1990,5
377,LONGLINE,1977,1
377,LONGLINE,1977,2
379,LONGLINE,1977,3
241,LONGLINE,1977,4
241,LONGLINE,1977,5
1888,LONGLINE,1978,1
1888,LONGLINE,1978,2
1894,LONGLINE,1978,3
1207,LONGLINE,1978,4
1207,LONGLINE,1978,5
2192,LONGLINE,1979,1
2192,LONGLINE,1979,2
2199,LONGLINE,1979,3
1401,LONGLINE,1979,4
1401,LONGLINE,1979,5
5698,LONGLINE,1980,1
5698,LONGLINE,1980,2
5717,LONGLINE,1980,3
3641,LONGLINE,1980,4
3641,LONGLINE,1980,5
4202,LONGLINE,1981,1
4202,LONGLINE,1981,2
7413,LONGLINE,1981,3
4828,LONGLINE,1981,4
4828,LONGLINE,1981,5
3965,LONGLINE,1982,1
3965,LONGLINE,1982,2
4872,LONGLINE,1982,3
4933,LONGLINE,1982,4
4933,LONGLINE,1982,5
4384,LONGLINE,1983,1
4384,LONGLINE,1983,2
6843,LONGLINE,1983,3
5573,LONGLINE,1983,4
5573,LONGLINE,1983,5
4736,LONGLINE,1984,1
4736,LONGLINE,1984,2
2793,LONGLINE,1984,3
1290,LONGLINE,1984,4
1290,LONGLINE,1984,5
3651,LONGLINE,1985,1
3651,LONGLINE,1985,2
1831,LONGLINE,1985,3
140,LONGLINE,1985,4
140,LONGLINE,1985,5
6371,LONGLINE,1986,1
6371,LONGLINE,1986,2
3645,LONGLINE,1986,3
687,LONGLINE,1986,4
687,LONGLINE,1986,5
2137,LONGLINE,1987,1
2137,LONGLINE,1987,2
2052,LONGLINE,1987,3
968,LONGLINE,1987,4
968,LONGLINE,1987,5
1192,LONGLINE,1988,1
1192,LONGLINE,1988,2
1103,LONGLINE,1988,3
224,LONGLINE,1988,4
224,LONGLINE,1988,5
951,LONGLINE,1989,1
951,LONGLINE,1989,2
832,LONGLINE,1989,3
464,LONGLINE,1989,4
464,LONGLINE,1989,5
2223,LONGLINE,1990,1
2223,LONGLINE,1990,2
1220,LONGLINE,1990,3
127,LONGLINE,1990,4
127,LONGLINE,1990,5
0,POT,1977,1
0,POT,1977,2
0,POT,1977,3
0,POT,1977,4
0,POT,1977,5
0,POT,1978,1
0,POT,1978,2
0,POT,1978,3
0,POT,1978,4
0,POT,1978,5
0,POT,1979,1
0,POT,1979,2
0,POT,1979,3
0,POT,1979,4
0,POT,1979,5
0,POT,1980,1
0,POT,1980,2
0,POT,1980,3
0,POT,1980,4
0,POT,1980,5
0,POT,1981,1
0,POT,1981,2
0,POT,1981,3
0,POT,1981,4
0,POT,1981,5
0,POT,1982,1
0,POT,1982,2
0,POT,1982,3
0,POT,1982,4
0,POT,1982,5
0,POT,1983,1
0,POT,1983,2
0,POT,1983,3
0,POT,1983,4
0,POT,1983,5
0,POT,1984,1
0,POT,1984,2
0,POT,1984,3
0,POT,1984,4
0,POT,1984,5
0,POT,1985,1
0,POT,1985,2
0,POT,1985,3
0,POT,1985,4
0,POT,1985,5
0,POT,1986,1
0,POT,1986,2
0,POT,1986,3
0,POT,1986,4
0,POT,1986,5
88,POT,1987,1
88,POT,1987,2
185,POT,1987,3
141,POT,1987,4
141,POT,1987,5
432,POT,1988,1
432,POT,1988,2
239,POT,1988,3
159,POT,1988,4
159,POT,1988,5
96,POT,1989,1
96,POT,1989,2
151,POT,1989,3
16,POT,1989,4
16,POT,1989,5
1031,POT,1990,1
1031,POT,1990,2
1523,POT,1990,3
1038,POT,1990,4
1038,POT,1990,5
0,OTHER,1977,1
196.8807521,OTHER,1978,1
403.8040574,OTHER,1979,1
256.6689758,OTHER,1980,1
40.40376051,OTHER,1981,1
27.32508659,OTHER,1982,1
63.29143988,OTHER,1983,1
57.68629391,OTHER,1984,1
32.46313706,OTHER,1985,1
93.41909946,OTHER,1986,1
361.2983671,OTHER,1987,1
303.845621,OTHER,1988,1
377.8802573,OTHER,1989,1
407.7743691,OTHER,1990,1
0,OTHER,1977,2
196.8807521,OTHER,1978,2
403.8040574,OTHER,1979,2
256.6689758,OTHER,1980,2
40.40376051,OTHER,1981,2
27.32508659,OTHER,1982,2
63.29143988,OTHER,1983,2
57.68629391,OTHER,1984,2
32.46313706,OTHER,1985,2
93.41909946,OTHER,1986,2
361.2983671,OTHER,1987,2
303.845621,OTHER,1988,2
377.8802573,OTHER,1989,2
407.7743691,OTHER,1990,2
0,OTHER,1977,3
197.5064325,OTHER,1978,3
405.087333,OTHER,1979,3
257.4846611,OTHER,1980,3
40.5321623,OTHER,1981,3
27.41192479,OTHER,1982,3
63.49257793,OTHER,1983,3
57.869619,OTHER,1984,3
32.56630381,OTHER,1985,3
93.71598219,OTHER,1986,3
362.4465611,OTHER,1987,3
304.8112321,OTHER,1988,3
379.0811479,OTHER,1989,3
409.0702622,OTHER,1990,3
0,OTHER,1977,4
125.8660317,OTHER,1978,4
258.1522761,OTHER,1979,4
164.0886937,OTHER,1980,4
25.83015834,OTHER,1981,4
17.46895101,OTHER,1982,4
40.46227115,OTHER,1983,4
36.87889659,OTHER,1984,4
20.75371103,OTHER,1985,4
59.72290945,OTHER,1986,4
230.9783523,OTHER,1987,4
194.248763,OTHER,1988,4
241.5791687,OTHER,1989,4
260.6904998,OTHER,1990,4
0,OTHER,1977,5
125.8660317,OTHER,1978,5
258.1522761,OTHER,1979,5
164.0886937,OTHER,1980,5
25.83015834,OTHER,1981,5
17.46895101,OTHER,1982,5
40.46227115,OTHER,1983,5
36.87889659,OTHER,1984,5
20.75371103,OTHER,1985,5
59.72290945,OTHER,1986,5
230.9783523,OTHER,1987,5
194.248763,OTHER,1988,5
241.5791687,OTHER,1989,5
260.6904998,OTHER,1990,5
