YEAR,INDEX,TEMP3,MODEL,SERIES,USED
2022,7,0.978272915,HADGEM2-AO_2.6,2.6,Y
2023,7,0.166399002,HADGEM2-AO_2.6,2.6,Y
2024,7,1.586496353,HADGEM2-AO_2.6,2.6,Y
2025,7,1.65320015,HADGEM2-AO_2.6,2.6,Y
2026,7,1.075984478,HADGEM2-AO_2.6,2.6,Y
2027,7,1.651165009,HADGEM2-AO_2.6,2.6,Y
2028,7,0.884484291,HADGEM2-AO_2.6,2.6,Y
2029,7,0.977613926,HADGEM2-AO_2.6,2.6,Y
2030,7,0.209900856,HADGEM2-AO_2.6,2.6,Y
2031,7,0.426208019,HADGEM2-AO_2.6,2.6,Y
2032,7,-0.508210659,HADGEM2-AO_2.6,2.6,Y
2033,7,0.641664505,HADGEM2-AO_2.6,2.6,Y
2034,7,-0.047653198,HADGEM2-AO_2.6,2.6,Y
2035,7,0.62719202,HADGEM2-AO_2.6,2.6,Y
2036,7,0.029667854,HADGEM2-AO_2.6,2.6,Y
2037,7,1.321310043,HADGEM2-AO_2.6,2.6,Y
2038,7,1.201983452,HADGEM2-AO_2.6,2.6,Y
2039,7,1.157347202,HADGEM2-AO_2.6,2.6,Y
2040,7,1.281464577,HADGEM2-AO_2.6,2.6,Y
2041,7,1.424844742,HADGEM2-AO_2.6,2.6,Y
2042,7,1.334443092,HADGEM2-AO_2.6,2.6,Y
2043,7,1.228906631,HADGEM2-AO_2.6,2.6,Y
2044,7,1.123914719,HADGEM2-AO_2.6,2.6,Y
2045,7,1.135042191,HADGEM2-AO_2.6,2.6,Y
2046,7,1.092959404,HADGEM2-AO_2.6,2.6,Y
2047,7,1.114388943,HADGEM2-AO_2.6,2.6,Y
2048,7,0.280736446,HADGEM2-AO_2.6,2.6,Y
2049,7,0.647881508,HADGEM2-AO_2.6,2.6,Y
2050,7,1.091421127,HADGEM2-AO_2.6,2.6,Y
2051,7,1.732473373,HADGEM2-AO_2.6,2.6,Y
2052,7,1.312716484,HADGEM2-AO_2.6,2.6,Y
2053,7,1.012383461,HADGEM2-AO_2.6,2.6,Y
2054,7,1.159361839,HADGEM2-AO_2.6,2.6,Y
2055,7,1.770759583,HADGEM2-AO_2.6,2.6,Y
2056,7,1.268241882,HADGEM2-AO_2.6,2.6,Y
2057,7,1.936264038,HADGEM2-AO_2.6,2.6,Y
2058,7,1.591377258,HADGEM2-AO_2.6,2.6,Y
2059,7,1.683268547,HADGEM2-AO_2.6,2.6,Y
2060,7,2.557528496,HADGEM2-AO_2.6,2.6,Y
2061,7,0.849046707,HADGEM2-AO_2.6,2.6,Y
2062,7,0.988788128,HADGEM2-AO_2.6,2.6,Y
2063,7,0.17609787,HADGEM2-AO_2.6,2.6,Y
2064,7,1.531270981,HADGEM2-AO_2.6,2.6,Y
2065,7,1.173769951,HADGEM2-AO_2.6,2.6,Y
2066,7,0.997475624,HADGEM2-AO_2.6,2.6,Y
2067,7,2.069576263,HADGEM2-AO_2.6,2.6,Y
2068,7,1.606068611,HADGEM2-AO_2.6,2.6,Y
2069,7,0.523421764,HADGEM2-AO_2.6,2.6,Y
2070,7,0.594495773,HADGEM2-AO_2.6,2.6,Y
2071,7,1.574859619,HADGEM2-AO_2.6,2.6,Y
2072,7,0.763811111,HADGEM2-AO_2.6,2.6,Y
2073,7,2.351394653,HADGEM2-AO_2.6,2.6,Y
2074,7,1.765844345,HADGEM2-AO_2.6,2.6,Y
2075,7,1.317721367,HADGEM2-AO_2.6,2.6,Y
2076,7,0.746695995,HADGEM2-AO_2.6,2.6,Y
2077,7,0.321964741,HADGEM2-AO_2.6,2.6,Y
2078,7,0.26006031,HADGEM2-AO_2.6,2.6,Y
2079,7,0.864404678,HADGEM2-AO_2.6,2.6,Y
2080,7,0.998761177,HADGEM2-AO_2.6,2.6,Y
2081,7,0.311765194,HADGEM2-AO_2.6,2.6,Y
2082,7,0.50854826,HADGEM2-AO_2.6,2.6,Y
2083,7,1.191587448,HADGEM2-AO_2.6,2.6,Y
2084,7,0.638430595,HADGEM2-AO_2.6,2.6,Y
2085,7,1.858851433,HADGEM2-AO_2.6,2.6,Y
2086,7,1.017530441,HADGEM2-AO_2.6,2.6,Y
2087,7,1.486154556,HADGEM2-AO_2.6,2.6,Y
2088,7,0.910911083,HADGEM2-AO_2.6,2.6,Y
2089,7,1.070837975,HADGEM2-AO_2.6,2.6,Y
2090,7,2.457604408,HADGEM2-AO_2.6,2.6,Y
2091,7,2.376264572,HADGEM2-AO_2.6,2.6,Y
2092,7,1.193724632,HADGEM2-AO_2.6,2.6,Y
2093,7,1.594889641,HADGEM2-AO_2.6,2.6,Y
2094,7,1.647269249,HADGEM2-AO_2.6,2.6,Y
2095,7,1.607129097,HADGEM2-AO_2.6,2.6,Y
2096,7,1.086886883,HADGEM2-AO_2.6,2.6,Y
2097,7,2.184361458,HADGEM2-AO_2.6,2.6,Y
2098,7,2.001753807,HADGEM2-AO_2.6,2.6,Y
2099,7,1.658689499,HADGEM2-AO_2.6,2.6,Y
2022,7,1.234295845,MIROC5_2.6,2.6,Y
2023,7,1.24464035,MIROC5_2.6,2.6,Y
2024,7,0.348668098,MIROC5_2.6,2.6,Y
2025,7,-0.531352997,MIROC5_2.6,2.6,Y
2026,7,0.331740379,MIROC5_2.6,2.6,Y
2027,7,1.073214531,MIROC5_2.6,2.6,Y
2028,7,2.052331924,MIROC5_2.6,2.6,Y
2029,7,1.867629051,MIROC5_2.6,2.6,Y
2030,7,-0.18231678,MIROC5_2.6,2.6,Y
2031,7,-0.697087288,MIROC5_2.6,2.6,Y
2032,7,-1.184524536,MIROC5_2.6,2.6,Y
2033,7,-0.438055992,MIROC5_2.6,2.6,Y
2034,7,-0.543875694,MIROC5_2.6,2.6,Y
2035,7,0.566771507,MIROC5_2.6,2.6,Y
2036,7,1.217441559,MIROC5_2.6,2.6,Y
2037,7,0.980947495,MIROC5_2.6,2.6,Y
2038,7,0.545740128,MIROC5_2.6,2.6,Y
2039,7,0.272550583,MIROC5_2.6,2.6,Y
2040,7,0.861161232,MIROC5_2.6,2.6,Y
2041,7,1.248790741,MIROC5_2.6,2.6,Y
2042,7,1.785601616,MIROC5_2.6,2.6,Y
2043,7,-0.598607063,MIROC5_2.6,2.6,Y
2044,7,-0.125189781,MIROC5_2.6,2.6,Y
2045,7,-0.053382874,MIROC5_2.6,2.6,Y
2046,7,0.555272102,MIROC5_2.6,2.6,Y
2047,7,0.921216965,MIROC5_2.6,2.6,Y
2048,7,1.687829018,MIROC5_2.6,2.6,Y
2049,7,0.054714203,MIROC5_2.6,2.6,Y
2050,7,-0.770474434,MIROC5_2.6,2.6,Y
2051,7,0.055228233,MIROC5_2.6,2.6,Y
2052,7,1.092285156,MIROC5_2.6,2.6,Y
2053,7,1.772363663,MIROC5_2.6,2.6,Y
2054,7,2.465023994,MIROC5_2.6,2.6,Y
2055,7,1.527997971,MIROC5_2.6,2.6,Y
2056,7,1.859391212,MIROC5_2.6,2.6,Y
2057,7,1.760672569,MIROC5_2.6,2.6,Y
2058,7,0.81585598,MIROC5_2.6,2.6,Y
2059,7,1.734002113,MIROC5_2.6,2.6,Y
2060,7,0.151642799,MIROC5_2.6,2.6,Y
2061,7,1.038509369,MIROC5_2.6,2.6,Y
2062,7,-0.18979454,MIROC5_2.6,2.6,Y
2063,7,-0.306411743,MIROC5_2.6,2.6,Y
2064,7,-0.11909008,MIROC5_2.6,2.6,Y
2065,7,0.469950676,MIROC5_2.6,2.6,Y
2066,7,1.487053871,MIROC5_2.6,2.6,Y
2067,7,1.572340012,MIROC5_2.6,2.6,Y
2068,7,0.392207146,MIROC5_2.6,2.6,Y
2069,7,-0.328658104,MIROC5_2.6,2.6,Y
2070,7,0.240629196,MIROC5_2.6,2.6,Y
2071,7,1.600191116,MIROC5_2.6,2.6,Y
2072,7,0.536282539,MIROC5_2.6,2.6,Y
2073,7,0.401112556,MIROC5_2.6,2.6,Y
2074,7,1.052641869,MIROC5_2.6,2.6,Y
2075,7,0.882304192,MIROC5_2.6,2.6,Y
2076,7,2.02250576,MIROC5_2.6,2.6,Y
2077,7,1.00758934,MIROC5_2.6,2.6,Y
2078,7,0.834199905,MIROC5_2.6,2.6,Y
2079,7,0.607514381,MIROC5_2.6,2.6,Y
2080,7,1.3657341,MIROC5_2.6,2.6,Y
2081,7,0.87052536,MIROC5_2.6,2.6,Y
2082,7,0.957613945,MIROC5_2.6,2.6,Y
2083,7,1.23385334,MIROC5_2.6,2.6,Y
2084,7,2.078730583,MIROC5_2.6,2.6,Y
2085,7,0.835884094,MIROC5_2.6,2.6,Y
2086,7,0.916273117,MIROC5_2.6,2.6,Y
2087,7,0.554753304,MIROC5_2.6,2.6,Y
2088,7,1.450935364,MIROC5_2.6,2.6,Y
2089,7,1.035045624,MIROC5_2.6,2.6,Y
2090,7,0.390030861,MIROC5_2.6,2.6,Y
2091,7,0.642670631,MIROC5_2.6,2.6,Y
2092,7,0.594907761,MIROC5_2.6,2.6,Y
2093,7,0.561104774,MIROC5_2.6,2.6,Y
2094,7,1.551269531,MIROC5_2.6,2.6,Y
2095,7,0.422732353,MIROC5_2.6,2.6,Y
2096,7,1.4112463,MIROC5_2.6,2.6,Y
2097,7,0.938957214,MIROC5_2.6,2.6,Y
2098,7,0.607239723,MIROC5_2.6,2.6,Y
2099,7,0.81182003,MIROC5_2.6,2.6,Y
2022,7,0.037565231,MIROC-ESM_2.6,2.6,Y
2023,7,0.739310265,MIROC-ESM_2.6,2.6,Y
2024,7,1.440971375,MIROC-ESM_2.6,2.6,Y
2025,7,0.889294624,MIROC-ESM_2.6,2.6,Y
2026,7,0.949763298,MIROC-ESM_2.6,2.6,Y
2027,7,0.438375473,MIROC-ESM_2.6,2.6,Y
2028,7,0.571051598,MIROC-ESM_2.6,2.6,Y
2029,7,0.758255005,MIROC-ESM_2.6,2.6,Y
2030,7,0.902687073,MIROC-ESM_2.6,2.6,Y
2031,7,1.085597992,MIROC-ESM_2.6,2.6,Y
2032,7,0.685199738,MIROC-ESM_2.6,2.6,Y
2033,7,1.022727966,MIROC-ESM_2.6,2.6,Y
2034,7,1.734118462,MIROC-ESM_2.6,2.6,Y
2035,7,1.691441536,MIROC-ESM_2.6,2.6,Y
2036,7,1.426120758,MIROC-ESM_2.6,2.6,Y
2037,7,0.622864723,MIROC-ESM_2.6,2.6,Y
2038,7,0.337165833,MIROC-ESM_2.6,2.6,Y
2039,7,0.912380219,MIROC-ESM_2.6,2.6,Y
2040,7,1.279920578,MIROC-ESM_2.6,2.6,Y
2041,7,0.987496376,MIROC-ESM_2.6,2.6,Y
2042,7,0.930306435,MIROC-ESM_2.6,2.6,Y
2043,7,0.92512989,MIROC-ESM_2.6,2.6,Y
2044,7,1.545636177,MIROC-ESM_2.6,2.6,Y
2045,7,1.409147263,MIROC-ESM_2.6,2.6,Y
2046,7,1.084160805,MIROC-ESM_2.6,2.6,Y
