YEAR,INDEX,TEMP,MODEL,SERIES,USED
2022,1,1.467329979,HADGEM2-AO_2.6,2.6,Y
2023,1,2.021543503,HADGEM2-AO_2.6,2.6,Y
2024,1,1.918634415,HADGEM2-AO_2.6,2.6,Y
2025,1,1.606221199,HADGEM2-AO_2.6,2.6,Y
2026,1,1.427066803,HADGEM2-AO_2.6,2.6,Y
2027,1,1.090112686,HADGEM2-AO_2.6,2.6,Y
2028,1,1.279813766,HADGEM2-AO_2.6,2.6,Y
2029,1,1.938212395,HADGEM2-AO_2.6,2.6,Y
2030,1,1.383419037,HADGEM2-AO_2.6,2.6,Y
2031,1,-0.585600853,HADGEM2-AO_2.6,2.6,Y
2032,1,0.450561523,HADGEM2-AO_2.6,2.6,Y
2033,1,0.692342758,HADGEM2-AO_2.6,2.6,Y
2034,1,0.016815186,HADGEM2-AO_2.6,2.6,Y
2035,1,0.487137794,HADGEM2-AO_2.6,2.6,Y
2036,1,0.537695885,HADGEM2-AO_2.6,2.6,Y
2037,1,1.979586601,HADGEM2-AO_2.6,2.6,Y
2038,1,0.667527199,HADGEM2-AO_2.6,2.6,Y
2039,1,1.616761208,HADGEM2-AO_2.6,2.6,Y
2040,1,2.047660828,HADGEM2-AO_2.6,2.6,Y
2041,1,1.820619583,HADGEM2-AO_2.6,2.6,Y
2042,1,1.232115746,HADGEM2-AO_2.6,2.6,Y
2043,1,1.070385933,HADGEM2-AO_2.6,2.6,Y
2044,1,1.292457581,HADGEM2-AO_2.6,2.6,Y
2045,1,0.528302193,HADGEM2-AO_2.6,2.6,Y
2046,1,2.692625046,HADGEM2-AO_2.6,2.6,Y
2047,1,1.190534592,HADGEM2-AO_2.6,2.6,Y
2048,1,1.21706295,HADGEM2-AO_2.6,2.6,Y
2049,1,1.434461594,HADGEM2-AO_2.6,2.6,Y
2050,1,2.171035767,HADGEM2-AO_2.6,2.6,Y
2051,1,1.733204842,HADGEM2-AO_2.6,2.6,Y
2052,1,0.629946709,HADGEM2-AO_2.6,2.6,Y
2053,1,1.356519699,HADGEM2-AO_2.6,2.6,Y
2054,1,1.812933922,HADGEM2-AO_2.6,2.6,Y
2055,1,1.936987877,HADGEM2-AO_2.6,2.6,Y
2056,1,1.336987495,HADGEM2-AO_2.6,2.6,Y
2057,1,2.874998093,HADGEM2-AO_2.6,2.6,Y
2058,1,2.909785271,HADGEM2-AO_2.6,2.6,Y
2059,1,1.740339279,HADGEM2-AO_2.6,2.6,Y
2060,1,1.644156456,HADGEM2-AO_2.6,2.6,Y
2061,1,1.443873405,HADGEM2-AO_2.6,2.6,Y
2062,1,0.385663033,HADGEM2-AO_2.6,2.6,Y
2063,1,0.985344887,HADGEM2-AO_2.6,2.6,Y
2064,1,1.283887863,HADGEM2-AO_2.6,2.6,Y
2065,1,1.026220322,HADGEM2-AO_2.6,2.6,Y
2066,1,1.5772295,HADGEM2-AO_2.6,2.6,Y
2067,1,1.127090454,HADGEM2-AO_2.6,2.6,Y
2068,1,1.903337479,HADGEM2-AO_2.6,2.6,Y
2069,1,-0.125530243,HADGEM2-AO_2.6,2.6,Y
2070,1,1.615672112,HADGEM2-AO_2.6,2.6,Y
2071,1,2.18655777,HADGEM2-AO_2.6,2.6,Y
2072,1,1.538858414,HADGEM2-AO_2.6,2.6,Y
2073,1,2.151293755,HADGEM2-AO_2.6,2.6,Y
2074,1,1.147499084,HADGEM2-AO_2.6,2.6,Y
2075,1,1.037602425,HADGEM2-AO_2.6,2.6,Y
2076,1,1.092285156,HADGEM2-AO_2.6,2.6,Y
2077,1,0.73960495,HADGEM2-AO_2.6,2.6,Y
2078,1,1.199667931,HADGEM2-AO_2.6,2.6,Y
2079,1,0.503722191,HADGEM2-AO_2.6,2.6,Y
2080,1,0.948165894,HADGEM2-AO_2.6,2.6,Y
2081,1,1.917830467,HADGEM2-AO_2.6,2.6,Y
2082,1,1.127169609,HADGEM2-AO_2.6,2.6,Y
2083,1,1.586105347,HADGEM2-AO_2.6,2.6,Y
2084,1,0.987646103,HADGEM2-AO_2.6,2.6,Y
2085,1,1.347801208,HADGEM2-AO_2.6,2.6,Y
2086,1,1.472467422,HADGEM2-AO_2.6,2.6,Y
2087,1,1.282187462,HADGEM2-AO_2.6,2.6,Y
2088,1,0.928901672,HADGEM2-AO_2.6,2.6,Y
2089,1,1.826910019,HADGEM2-AO_2.6,2.6,Y
2090,1,2.396854401,HADGEM2-AO_2.6,2.6,Y
2091,1,2.715270996,HADGEM2-AO_2.6,2.6,Y
2092,1,1.185838699,HADGEM2-AO_2.6,2.6,Y
2093,1,1.826981544,HADGEM2-AO_2.6,2.6,Y
2094,1,3.41597271,HADGEM2-AO_2.6,2.6,Y
2095,1,1.938630104,HADGEM2-AO_2.6,2.6,Y
2096,1,1.671757698,HADGEM2-AO_2.6,2.6,Y
2097,1,1.60743618,HADGEM2-AO_2.6,2.6,Y
2098,1,2.272336006,HADGEM2-AO_2.6,2.6,Y
2099,1,1.800549507,HADGEM2-AO_2.6,2.6,Y
2022,1,0.523109436,MIROC5_2.6,2.6,Y
2023,1,0.694888115,MIROC5_2.6,2.6,Y
2024,1,-0.362890244,MIROC5_2.6,2.6,Y
2025,1,-1.019429207,MIROC5_2.6,2.6,Y
2026,1,0.700613976,MIROC5_2.6,2.6,Y
2027,1,1.067684174,MIROC5_2.6,2.6,Y
2028,1,2.067918777,MIROC5_2.6,2.6,Y
2029,1,1.446519852,MIROC5_2.6,2.6,Y
2030,1,-0.750627518,MIROC5_2.6,2.6,Y
2031,1,-1.329679489,MIROC5_2.6,2.6,Y
2032,1,-0.16744709,MIROC5_2.6,2.6,Y
2033,1,0.260371208,MIROC5_2.6,2.6,Y
2034,1,0.329849243,MIROC5_2.6,2.6,Y
2035,1,0.855363846,MIROC5_2.6,2.6,Y
2036,1,1.010613441,MIROC5_2.6,2.6,Y
2037,1,0.832838058,MIROC5_2.6,2.6,Y
2038,1,0.980314255,MIROC5_2.6,2.6,Y
2039,1,0.166139603,MIROC5_2.6,2.6,Y
2040,1,0.617706299,MIROC5_2.6,2.6,Y
2041,1,2.271046638,MIROC5_2.6,2.6,Y
2042,1,0.951488495,MIROC5_2.6,2.6,Y
2043,1,-0.086129189,MIROC5_2.6,2.6,Y
2044,1,-0.146306992,MIROC5_2.6,2.6,Y
2045,1,1.401037216,MIROC5_2.6,2.6,Y
2046,1,1.180422783,MIROC5_2.6,2.6,Y
2047,1,1.943623543,MIROC5_2.6,2.6,Y
2048,1,1.578954697,MIROC5_2.6,2.6,Y
